Author;Publication count;PageRank;Authority score
Tomás Feder;1;0;0
Christos H. Papadimitriou;20;0;0
Peter Brössler;1;0;0
Jean-Louis Lassez;2;0;0
Alexander Brodsky;3;0;0
Vassilis Christophides;1;0;0
Gianluigi Greco;4;0;0
Oded Shmueli;10;0;0
Oliver M. Duschka;2;0;0
Venkatesan T. Chakaravarthy;3;0;0
Vadim Savenkov;1;0;0
Barbara Smith-Thomas;1;0;0
Flaviu Cristian;1;0;0
Filip Murlak;3;0;0
Diego Calvanese;9;0;0
Almira Karabeg;1;0;0
Chinya V. Ravishankar;1;0;0
Thomas Neumann 0001;1;0;0
A. Michael;1;0;0
Daniel Deutch;4;0;0
Victor Matos;1;0;0
Wang-Chiew Tan;1;0;0
Daniel R. Ries;1;0;0
Bertrand Simon;1;0;0
Christof Löding;1;0;0
Stuart E. Madnick;1;0;0
Katherine A. Morris;1;0;0
Alan J. Demers;1;0;0
Stéphane Grumbach;7;0;0
Dirk Van Gucht;19;0;0
Umeshwar Dayal;5;0;0
Vibhor Rastogi;3;0;0
Mark J. Wheelhouse;1;0;0
Toni Mancini;1;0;0
Sergei G. Vorobyov;1;0;0
Rossano Venturini;1;0;0
Rasmus Pagh;6;0;0
Graham Cormode;9;0;0
Peter Widmayer;3;0;0
Ramsey W. Haddad;1;0;0
Yannis Katsis;1;0;0
Nobuyoshi Miyazaki;1;0;0
Per-Åke Larson;1;0;0
Saladi Rahul;2;0;0
Paolo Ciaccia;1;0;0
M. V. Ramakrishna;1;0;0
Sushil Jajodia;2;0;0
Ronald Fagin;22;0;0
Alin Deutsch;6;0;0
Jennifer Widom;6;0;0
Robert Baumgartner;1;0;0
George A. Mihaila;1;0;0
Mark H. Nodine;1;0;0
Peter J. Stuckey;1;0;0
C. P. Wang;1;0;0
Mohammad Mahdian;2;0;0
David Toman;1;0;0
Francesco Silvestri 0001;2;0;0
Sai Surya Kiran Evani;1;0;0
Eric Simon;1;0;0
Cristina Civili;1;0;0
Frank Olken;1;0;0
Edward P. F. Chan;6;0;0
Sergio Tessaris;1;0;0
Kyle Fox;1;0;0
Alexander Markowetz;1;0;0
Fabrizio Angiulli;1;0;0
Yoav Raz;1;0;0
Gaetano Geck;1;0;0
Boaz Barak;1;0;0
Li-Yan Yuan;5;0;0
Akshay Goel;1;0;0
Michael J. Fischer;2;0;0
Piero A. Bonatti;1;0;0
Yannis Theodoridis;2;0;0
Paolo Giulio Franciosa;1;0;0
Robert C. Steinke;1;0;0
Pierangela Samarati;2;0;0
Rina Panigrahy;3;0;0
Gagan Aggarwal;1;0;0
Nicole Schweikardt;5;0;0
Kee S. Ong;1;0;0
Rajeev Alur;1;0;0
Jonathan Goldstein;1;0;0
C. Mohan;1;0;0
Catherine Lassez;1;0;0
Ron van der Meyden;1;0;0
Kousha Etessami;1;0;0
Marco Cadoli;2;0;0
Moni Naor;1;0;0
Bing-Chao Huang;1;0;0
Mahmoud Abo Khamis;3;0;0
Zoltán Miklós;1;0;0
S. Seshadri;2;0;0
Heinrich Toben;1;0;0
Jack Minker;1;0;0
Paolo Guagliardo;1;0;0
Doron Rotem;6;0;0
